2018-12-31 13:11:26,837 INFO  [scala-execution-context-global-16] com.dvbaluki.concurrency.ch6.ch6.package$ - 1) {"author":"Keith Bostic","id":18,"quote":"Perl \u2013 The only language that looks the same before and after RSA encryption.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/18"}
2018-12-31 13:11:27,752 INFO  [scala-execution-context-global-16] com.dvbaluki.concurrency.ch6.ch6.package$ - 2) {"author":"Yogi Berra","id":16,"quote":"In theory, theory and practice are the same. In practice, they\u2019re not.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/16"}
2018-12-31 13:11:28,647 INFO  [scala-execution-context-global-16] com.dvbaluki.concurrency.ch6.ch6.package$ - 3) {"author":"Bill Sempf","id":44,"quote":"QA Engineer walks into a bar. Orders a beer. Orders 0 beers. Orders 999999999 beers. Orders a lizard. Orders -1 beers. Orders a sfdeljknesv.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/44"}
2018-12-31 13:14:21,720 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Using concat
2018-12-31 13:14:27,723 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Now using flatten
2018-12-31 13:14:29,232 INFO  [scala-execution-context-global-16] com.dvbaluki.concurrency.ch6.ch6.package$ - 3) {"author":"Jeff Atwood","id":42,"quote":"In software, we rarely have meaningful requirements. Even if we do, the only measure of success that matters is whether our solution solves the customer\u2019s shifting idea of what their problem is.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/42"}
2018-12-31 13:14:29,236 INFO  [scala-execution-context-global-15] com.dvbaluki.concurrency.ch6.ch6.package$ - 0) {"author":"Unknown","id":20,"quote":"Saying that Java is good because it works on all platforms is like saying anal sex is good because it works on all genders.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/20"}
2018-12-31 13:14:29,237 INFO  [scala-execution-context-global-15] com.dvbaluki.concurrency.ch6.ch6.package$ - 1) {"author":"Phil Karlton","id":43,"quote":"There are only two hard things in Computer Science: cache invalidation, naming things and off-by-one errors.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/43"}
2018-12-31 13:14:29,237 INFO  [scala-execution-context-global-15] com.dvbaluki.concurrency.ch6.ch6.package$ - 2) {"author":"Bjarne Stroustrup","id":28,"quote":"There are only two kinds of programming languages: those people always bitch about and those nobody uses.","permalink":"http://quotes.stormconsultancy.co.uk/quotes/28"}
2018-12-31 13:15:38,717 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Using concat
2018-12-31 13:15:45,037 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Now using flatten
2018-12-31 13:20:09,825 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Using concat
2018-12-31 13:20:16,134 INFO  [main] com.dvbaluki.concurrency.ch6.ch6.package$ - Now using flatten
2019-01-03 08:46:27,582 INFO  [AWT-EventQueue-0] com.dvbaluki.concurrency.ch6.ch6.package$ - button clicked
2019-01-03 08:46:28,102 INFO  [AWT-EventQueue-0] com.dvbaluki.concurrency.ch6.ch6.package$ - button clicked
2019-01-03 08:46:47,685 INFO  [AWT-EventQueue-0] com.dvbaluki.concurrency.ch6.ch6.package$ - button clicked
